Ngram,Count,Katz_Prob
"వ్యాఖ్యపై విరుచుకుపడ్డారు . మహిళలపై",1,0.5
"విరుచుకుపడ్డారు . మహిళలపై ఆ",1,0.5
". మహిళలపై ఆ వ్యాఖ్య",1,0.5
"మహిళలపై ఆ వ్యాఖ్య చేసినందుకు",1,0.5
"ఆ వ్యాఖ్య చేసినందుకు హర్యానా",1,0.5
"వ్యాఖ్య చేసినందుకు హర్యానా సిఎం",1,0.5
"చేసినందుకు హర్యానా సిఎం సంజాయిషీ",1,0.5
"హర్యానా సిఎం సంజాయిషీ చెప్పాలని",1,0.5
"సిఎం సంజాయిషీ చెప్పాలని ఆమె",1,0.5
"సంజాయిషీ చెప్పాలని ఆమె శనివారం",1,0.5
"చెప్పాలని ఆమె శనివారం డిమాండ్",1,0.5
"ఆమె శనివారం డిమాండ్ చేశారు",1,0.5
"శనివారం డిమాండ్ చేశారు .",1,0.5
"డిమాండ్ చేశారు . </s>",11,0.23863636363636365
"చేశారు . </s> </s>",148,0.9966216216216216
". </s> </s> </s>",5771,0.999913359902963
"<s> <s> <s> సిద్ధాంత్",1,6.315523556902867e-05
"<s> <s> సిద్ధాంత్ బాత్రా",1,0.5
"<s> సిద్ధాంత్ బాత్రా అభ్యర్థనను",1,0.5
"సిద్ధాంత్ బాత్రా అభ్యర్థనను ఐఐటీ",1,0.5
"బాత్రా అభ్యర్థనను ఐఐటీ తిరస్కరించింది",1,0.5
"అభ్యర్థనను ఐఐటీ తిరస్కరించింది .",1,0.5
"ఐఐటీ తిరస్కరించింది . సీటు",1,0.5
"తిరస్కరించింది . సీటు ఉపసంహరణ",1,0.5
". సీటు ఉపసంహరణ లేఖ",1,0.5
"సీటు ఉపసంహరణ లేఖ (",1,0.5
"ఉపసంహరణ లేఖ ( క్యాన్సిలేషన్",1,0.5
"లేఖ ( క్యాన్సిలేషన్ లెటర్",1,0.5
"( క్యాన్సిలేషన్ లెటర్ )",1,0.5
"క్యాన్సిలేషన్ లెటర్ ) ను",1,0.5
"లెటర్ ) ను రద్దు",1,0.5
") ను రద్దు చేసే",1,0.5
"ను రద్దు చేసే అధికారం",1,0.5
"రద్దు చేసే అధికారం తమకు",1,0.5
"చేసే అధికారం తమకు లేదని",1,0.5
"అధికారం తమకు లేదని బాంబే",1,0.5
"తమకు లేదని బాంబే ఐఐటీ",1,0.5
"లేదని బాంబే ఐఐటీ రిజిస్ట్రార్",1,0.5
"బాంబే ఐఐటీ రిజిస్ట్రార్ ప్రేమ్",1,0.5
"ఐఐటీ రిజిస్ట్రార్ ప్రేమ్ కుమార్",1,0.5
"రిజిస్ట్రార్ ప్రేమ్ కుమార్ కోర్టుకు",1,0.5
"ప్రేమ్ కుమార్ కోర్టుకు తెలిపారు",1,0.5
"కుమార్ కోర్టుకు తెలిపారు .",1,0.5
"కోర్టుకు తెలిపారు . విద్యార్థి",1,0.25
"తెలిపారు . విద్యార్థి బ్యాగ్రౌండ్",1,0.5
". విద్యార్థి బ్యాగ్రౌండ్ ఏమిటన్నదానికంటే",1,0.5
"విద్యాలయం అవలంభిస్తోన్న విధానాలే ముఖ్యమైనవని",1,0.5
"నిబంధనల ప్రకారమే తాము నడుచుకుంటామని",1,0.5
"ఐఐటీల్లో అడ్మిషన్ల వ్యవహారమంతా ‘",1,0.5
"అడ్మిషన్ల వ్యవహారమంతా ‘ జాయింట్",1,0.5
"వ్యవహారమంతా ‘ జాయింట్ సీట్",1,0.5
"‘ జాయింట్ సీట్ అలాట్మెట్",1,0.5
"జాయింట్ సీట్ అలాట్మెట్ అథారిటీ",1,0.5
"సీట్ అలాట్మెట్ అథారిటీ '",1,0.5
"అలాట్మెట్ అథారిటీ ' నిర్వహిస్తుందని",1,0.5
"అథారిటీ ' నిర్వహిస్తుందని ప్రేమ్",1,0.5
"' నిర్వహిస్తుందని ప్రేమ్ కుమార్",1,0.5
"నిర్వహిస్తుందని ప్రేమ్ కుమార్ వివరించారు",1,0.5
"ప్రేమ్ కుమార్ వివరించారు .",1,0.5
"కుమార్ వివరించారు . అంతేకాదు",1,0.5
"అతను వదులుకున్న సీటులో వేరేవాళ్లు",1,0.5
"వదులుకున్న సీటులో వేరేవాళ్లు చేరిపోయారని",1,0.5
"ప్రస్తుతం బాంబే ఐఐటీలో సీట్లు",1,0.5
"బాంబే ఐఐటీలో సీట్లు ఖాళీగా",1,0.5
"ఐఐటీలో సీట్లు ఖాళీగా లేవని",1,0.5
"సిద్ధాంత్ ఇక వచ్చే ఏడాది",1,0.5
"ఇక వచ్చే ఏడాది జేఈఈకి",1,0.5
"వచ్చే ఏడాది జేఈఈకి ప్రిపేర్",1,0.5
"ఏడాది జేఈఈకి ప్రిపేర్ కావడం",1,0.5
"జేఈఈకి ప్రిపేర్ కావడం మంచిదని",1,0.5
"ప్రిపేర్ కావడం మంచిదని రిజిస్ట్రార్",1,0.5
"కావడం మంచిదని రిజిస్ట్రార్ పేర్కొన్నారు",1,0.5
"మంచిదని రిజిస్ట్రార్ పేర్కొన్నారు .",1,0.5
"రిజిస్ట్రార్ పేర్కొన్నారు . దీనిపై",1,0.5
"పేర్కొన్నారు . దీనిపై .",1,0.5
". దీనిపై . .",1,0.5
"దీనిపై . . </s>",1,0.5
". . </s> </s>",383,0.9986945169712794
"<s> <s> <s> బేర్",1,6.315523556902867e-05
"<s> <s> బేర్ గ్రిల్స్",1,0.5
"<s> బేర్ గ్రిల్స్ ఇటీవలే",1,0.5
"బేర్ గ్రిల్స్ ఇటీవలే రజనీతో",1,0.5
"గ్రిల్స్ ఇటీవలే రజనీతో కలిసి",1,0.5
"ఇటీవలే రజనీతో కలిసి వైల్డ్",1,0.5
"రజనీతో కలిసి వైల్డ్ జర్నీకి",1,0.5
"కలిసి వైల్డ్ జర్నీకి సంబంధించి",1,0.5
"వైల్డ్ జర్నీకి సంబంధించి కొన్ని",1,0.5
"జర్నీకి సంబంధించి కొన్ని ఫొటోలను",1,0.5
"సంబంధించి కొన్ని ఫొటోలను సోషల్",1,0.5
"కొన్ని ఫొటోలను సోషల్ మీడియాలో",1,0.5
"ఫొటోలను సోషల్ మీడియాలో షేర్",2,0.5
"సోషల్ మీడియాలో షేర్ చేశాడు",2,0.15
"మీడియాలో షేర్ చేశాడు .",2,0.75
"షేర్ చేశాడు . ఇప్పుడా",1,0.16666666666666666
"చేశాడు . ఇప్పుడా ఆ",1,0.5
". ఇప్పుడా ఆ ఫొటోలు",1,0.5
"ఇప్పుడా ఆ ఫొటోలు వైరల్",1,0.5
"ఆ ఫొటోలు వైరల్ అవుతున్నాయి",1,0.5
"ఫొటోలు వైరల్ అవుతున్నాయి .",1,0.5
"వైరల్ అవుతున్నాయి . మార్చి",1,0.16666666666666666
"అవుతున్నాయి . మార్చి న",1,0.5
". మార్చి న డిస్కవరీ",1,0.5
"మార్చి న డిస్కవరీ ఛానల్లో",1,0.5
"న డిస్కవరీ ఛానల్లో రాత్రి",1,0.5
"డిస్కవరీ ఛానల్లో రాత్రి 8",1,0.5
"ఛానల్లో రాత్రి 8 గంటలకు",1,0.5
"రాత్రి 8 గంటలకు వైల్డ్",1,0.25
"8 గంటలకు వైల్డ్ ప్రిమియర్స్",1,0.5
"గంటలకు వైల్డ్ ప్రిమియర్స్ ఎపిసోడ్",1,0.5
"వైల్డ్ ప్రిమియర్స్ ఎపిసోడ్ ప్రసారం",1,0.5
"ప్రిమియర్స్ ఎపిసోడ్ ప్రసారం కానుంది",1,0.5
"ఎపిసోడ్ ప్రసారం కానుంది .",1,0.5
"ప్రసారం కానుంది . </s>",1,0.5
"కానుంది . </s> </s>",8,0.9375
"<s> <s> <s>",82,0.0
"<s> <s> "" వీడికీ",1,0.006097560975609756
"<s> "" వీడికీ పాపం",1,0.5
"వీడికీ పాపం పండే",1,0.5
"వీడికీ పాపం పండే రోజూ",1,0.5
"పాపం పండే రోజూ తప్పక",1,0.5
"పండే రోజూ తప్పక వస్తుంది",1,0.5
"రోజూ తప్పక వస్తుంది .",1,0.5
"తప్పక వస్తుంది . .",1,0.5
"వస్తుంది . . .",1,0.25
". . . దేముడు",1,0.000727802037845706
". . దేముడు అన్నీ",1,0.5
". దేముడు అన్నీ చూస్తున్నాడు",1,0.5
"దేముడు అన్నీ చూస్తున్నాడు .",1,0.5
"అన్నీ చూస్తున్నాడు . .",1,0.5
"చూస్తున్నాడు . . .",1,0.5
". . . </s>",178,0.25836972343522563
"<s> <s> <s> టీడీపీ",11,0.001326259946949602
"<s> <s> టీడీపీ నేతల",1,0.045454545454545456
"<s> టీడీపీ నేతల ఆరోపణలపై",1,0.5
"టీడీపీ నేతల ఆరోపణలపై బీజేపీ",1,0.5
"నేతల ఆరోపణలపై బీజేపీ నేత",1,0.5
"ఆరోపణలపై బీజేపీ నేత ఆకుల",1,0.5
"బీజేపీ నేత ఆకుల సత్యనారాయణ",1,0.5
"నేత ఆకుల సత్యనారాయణ స్పందించారు",1,0.5
"ఆకుల సత్యనారాయణ స్పందించారు .",1,0.5
"సత్యనారాయణ స్పందించారు . టీడీపీ",1,0.25
"స్పందించారు . టీడీపీ నేతలు",1,0.5
". టీడీపీ నేతలు గాలి",1,0.16666666666666666
"టీడీపీ నేతలు గాలి పోగేసి",1,0.5
"నేతలు గాలి పోగేసి ఆరోపణలు",1,0.5
"గాలి పోగేసి ఆరోపణలు చేస్తున్నారని",1,0.5
"పోగేసి ఆరోపణలు చేస్తున్నారని ధ్వజమెత్తారు",1,0.5
"ఆరోపణలు చేస్తున్నారని ధ్వజమెత్తారు .",1,0.5
"చేస్తున్నారని ధ్వజమెత్తారు . కానీ",1,0.5
"ధ్వజమెత్తారు . కానీ టీడీపీ",1,0.5
". కానీ టీడీపీ నేతలు",2,0.75
"కానీ టీడీపీ నేతలు మాత్రం",1,0.25
"టీడీపీ నేతలు మాత్రం అసలు",1,0.5
"నేతలు మాత్రం అసలు అమిత్",1,0.5
"మాత్రం అసలు అమిత్ షాను",1,0.5
"అసలు అమిత్ షాను బుగ్గన",1,0.5
"అమిత్ షాను బుగ్గన రాజేంద్రనాథ్",1,0.5
"షాను బుగ్గన రాజేంద్రనాథ్ రెడ్డి",1,0.5
"బుగ్గన రాజేంద్రనాథ్ రెడ్డి ఎందుకు",1,0.5
"రాజేంద్రనాథ్ రెడ్డి ఎందుకు కలవాల్సి",1,0.5
"రెడ్డి ఎందుకు కలవాల్సి వచ్చిందో",1,0.5
"ఎందుకు కలవాల్సి వచ్చిందో చెప్పాలని",1,0.5
"కలవాల్సి వచ్చిందో చెప్పాలని అంటున్నారు",1,0.5
"వచ్చిందో చెప్పాలని అంటున్నారు .",1,0.5
"చెప్పాలని అంటున్నారు . </s>",1,0.5
"అంటున్నారు . </s> </s>",30,0.9833333333333333
"<s> <s> <s> వ్యంగ్య",1,6.315523556902867e-05
"<s> <s> వ్యంగ్య రచయిత",1,0.5
"<s> వ్యంగ్య రచయిత మంచిని",1,0.5
"వ్యంగ్య రచయిత మంచిని వర్ణించి",1,0.5
"రచయిత మంచిని వర్ణించి ప్రజల",1,0.5
"మంచిని వర్ణించి ప్రజల మనస్సులను",1,0.5
"వర్ణించి ప్రజల మనస్సులను మార్చాలని",1,0.5
"ప్రజల మనస్సులను మార్చాలని చూడడం",1,0.5
"మనస్సులను మార్చాలని చూడడం కంటే",1,0.5
"మార్చాలని చూడడం కంటే చెడును",1,0.5
"చూడడం కంటే చెడును మన",1,0.5
"కంటే చెడును మన కళ్ల",1,0.5
"చెడును మన కళ్ల ఎదుట",1,0.5
"మన కళ్ల ఎదుట నిలిపి",1,0.5
"కళ్ల ఎదుట నిలిపి దాన్ని",1,0.5
"ఎదుట నిలిపి దాన్ని అపహాస్యం",1,0.5
"నిలిపి దాన్ని అపహాస్యం చేయడమే",1,0.5
"దాన్ని అపహాస్యం చేయడమే లక్ష్యంగా",1,0.5
"అపహాస్యం చేయడమే లక్ష్యంగా సాగుతాడు",1,0.5
"చేయడమే లక్ష్యంగా సాగుతాడు .",1,0.5
"లక్ష్యంగా సాగుతాడు . ఆ",1,0.5
"సాగుతాడు . ఆ క్రమంలో",1,0.5
". ఆ క్రమంలో దానికి",1,0.25
"ఆ క్రమంలో దానికి ఆలంబనమైన",1,0.5
"క్రమంలో దానికి ఆలంబనమైన వ్యక్తులను",1,0.5
"దానికి ఆలంబనమైన వ్యక్తులను గానీ",1,0.5
"అభిప్రాయాలను గానీ మూలచ్ఛేదం చేస్తాడు",1,0.5
"గానీ మూలచ్ఛేదం చేస్తాడు .",1,0.5
"మూలచ్ఛేదం చేస్తాడు . అయితే",1,0.5
"చేస్తాడు . అయితే దానిలో",1,0.5
". అయితే దానిలో హాస్యం",1,0.5
"అయితే దానిలో హాస్యం లేకపోతే",1,0.5
"దానిలో హాస్యం లేకపోతే కేవలం",1,0.5
"హాస్యం లేకపోతే కేవలం తిట్టులా",1,0.5
"లేకపోతే కేవలం తిట్టులా వినిపిస్తుంది",1,0.5
"కేవలం తిట్టులా వినిపిస్తుంది .",1,0.5
"తిట్టులా వినిపిస్తుంది . కావ్యశిల్పం",1,0.5
"వినిపిస్తుంది . కావ్యశిల్పం లేకపోతే",1,0.5
". కావ్యశిల్పం లేకపోతే కేవలం",1,0.5
"కావ్యశిల్పం లేకపోతే కేవలం వెక్కిరింతలా",1,0.5
"లేకపోతే కేవలం వెక్కిరింతలా అనిపిస్తుంది",1,0.5
"కేవలం వెక్కిరింతలా అనిపిస్తుంది .",1,0.5
"వెక్కిరింతలా అనిపిస్తుంది . అధర్మాన్ని",1,0.5
"అనిపిస్తుంది . అధర్మాన్ని అపహాస్యం",1,0.5
". అధర్మాన్ని అపహాస్యం చేసి",1,0.5
"అధర్మం ధరించిన గంభీర వస్త్రాలను",1,0.5
"ధరించిన గంభీర వస్త్రాలను విప్పి",1,0.5
"గంభీర వస్త్రాలను విప్పి పారేసి",1,0.5
"వస్త్రాలను విప్పి పారేసి దాని",1,0.5
"విప్పి పారేసి దాని పేలవత్వాన్ని",1,0.5
"దాని నిజ స్వరూపాన్ని ప్రదర్శించి",1,0.5
"నిజ స్వరూపాన్ని ప్రదర్శించి నవ్వించడం",1,0.5
"స్వరూపాన్ని ప్రదర్శించి నవ్వించడం ఆయా",1,0.5
"ప్రదర్శించి నవ్వించడం ఆయా రచయితల",1,0.5
"నవ్వించడం ఆయా రచయితల ప్రతిభా",1,0.5
"ఆయా రచయితల ప్రతిభా సామర్థ్యాలపై",1,0.5
"రచయితల ప్రతిభా సామర్థ్యాలపై ఆధారపడి",1,0.5
"ప్రతిభా సామర్థ్యాలపై ఆధారపడి ఉంటుంది",1,0.5
"సామర్థ్యాలపై ఆధారపడి ఉంటుంది .",1,0.5
"ఆధారపడి ఉంటుంది . ఇలాంటి",1,0.038461538461538464
"ఉంటుంది . ఇలాంటి రచనలు",1,0.5
". ఇలాంటి రచనలు మేథాశక్తికి",1,0.5
"ఇలాంటి రచనలు మేథాశక్తికి సంబంధించినవి",1,0.5
"రచనలు మేథాశక్తికి సంబంధించినవి .",1,0.5
"మేథాశక్తికి సంబంధించినవి . ఇవి",1,0.5
"సంబంధించినవి . ఇవి హృదయ",1,0.5
". ఇవి హృదయ సంబంధి",1,0.5
"ఇవి హృదయ సంబంధి కావు",1,0.5
"హృదయ సంబంధి కావు .",1,0.5
"సంబంధి కావు . సంఘ",1,0.5
"కావు . సంఘ చైతన్యంగల",1,0.5
". సంఘ చైతన్యంగల మేధావిగా",1,0.5
"సంఘ చైతన్యంగల మేధావిగా గోరాశాస్ర్తీ",1,0.5
"చైతన్యంగల మేధావిగా గోరాశాస్ర్తీ సమకాలీనులను",1,0.5
"మేధావిగా గోరాశాస్ర్తీ సమకాలీనులను చైతన్యవంతం",1,0.5
"గోరాశాస్ర్తీ సమకాలీనులను చైతన్యవంతం చెయ్యగలిగినంత",1,0.5
"సమకాలీనులను చైతన్యవంతం చెయ్యగలిగినంత మేరకు",1,0.5
"చైతన్యవంతం చెయ్యగలిగినంత మేరకు ఇట్లా",1,0.5
"చెయ్యగలిగినంత మేరకు ఇట్లా తన",1,0.5
"మేరకు ఇట్లా తన రచనా",1,0.5
"ఇట్లా తన రచనా వ్యాసంగంతో",1,0.5
"తన రచనా వ్యాసంగంతో చేశాడు",1,0.5
"రచనా వ్యాసంగంతో చేశాడు .",1,0.5
"వ్యాసంగంతో చేశాడు . అందుకే",1,0.5
"చేశాడు . అందుకే పాఠకలోకం",1,0.5
". అందుకే పాఠకలోకం ఆయనకు",1,0.5
"అందుకే పాఠకలోకం ఆయనకు బ్రహ్మరథం",1,0.5
"పాఠకలోకం ఆయనకు బ్రహ్మరథం పట్టింది",1,0.5
"ఆయనకు బ్రహ్మరథం పట్టింది .",1,0.5
"బ్రహ్మరథం పట్టింది . </s>",1,0.5
"పట్టింది . </s> </s>",4,0.875
"<s> <s> <s> ఎన్టీఆర్",6,0.0006947075912593154
"<s> <s> ఎన్టీఆర్ …",1,0.08333333333333333
"<s> ఎన్టీఆర్ … ఆ",1,0.5
"ఎన్టీఆర్ … ఆ టాపిక్",1,0.5
"… ఆ టాపిక్ స్పందిస్తారని",1,0.5
"ఆ టాపిక్ స్పందిస్తారని కలలో",1,0.5
"టాపిక్ స్పందిస్తారని కలలో కూడా",1,0.5
"స్పందిస్తారని కలలో కూడా ఊహించం",1,0.5
"కలలో కూడా ఊహించం </s>",1,0.5
"కూడా ఊహించం </s> </s>",1,0.5
"ఊహించం </s> </s> </s>",1,0.5
"<s> <s> <s> ఈ",264,0.03328280914487811
"<s> <s> ఈ జీపు",1,0.001893939393939394
"<s> ఈ జీపు గంటకి",1,0.5
"ఈ జీపు గంటకి 60",1,0.5
"జీపు గంటకి 60 నుంచి",1,0.5
"గంటకి 60 నుంచి 70",1,0.5
"60 నుంచి 70 కిలోమీటర్ల",1,0.5
"నుంచి 70 కిలోమీటర్ల వరకు",1,0.5
"70 కిలోమీటర్ల వరకు ప్రయాణించగల",1,0.5
"కిలోమీటర్ల వరకు ప్రయాణించగల ని",1,0.5
"వరకు ప్రయాణించగల ని ఈ",1,0.5
"ప్రయాణించగల ని ఈ జీప్",1,0.5
"ని ఈ జీప్ తయారు",1,0.5
"ఈ జీప్ తయారు చేయడానికి",1,0.5
"జీప్ తయారు చేయడానికి తనకి",1,0.5
"తయారు చేయడానికి తనకి ఒకటిన్నర",1,0.5
"చేయడానికి తనకి ఒకటిన్నర లక్ష",1,0.5
"తనకి ఒకటిన్నర లక్ష రూపాయలు",1,0.5
"ఒకటిన్నర లక్ష రూపాయలు ఖర్చయిందని",1,0.5
"లక్ష రూపాయలు ఖర్చయిందని తెలియజేశాడు",1,0.5
"రూపాయలు ఖర్చయిందని తెలియజేశాడు .",1,0.5
"ఖర్చయిందని తెలియజేశాడు . ఇంకెందుకు",1,0.5
"తెలియజేశాడు . ఇంకెందుకు ఆలస్యం",1,0.5
". ఇంకెందుకు ఆలస్యం మీరు",1,0.5
"ఇంకెందుకు ఆలస్యం మీరు కూడా",1,0.5
"ఆలస్యం మీరు కూడా ఈ",1,0.5
"మీరు కూడా ఈ వీడియోని",1,0.5
"కూడా ఈ వీడియోని చూడండి",1,0.5
"ఈ వీడియోని చూడండి .",1,0.5
"వీడియోని చూడండి . </s>",1,0.5
"చూడండి . </s> </s>",3,0.8333333333333334
"<s> <s> <s> ‘",101,0.012694202349374763
"<s> <s> ‘ సైరా",1,0.0049504950495049506
"<s> ‘ సైరా ’",1,0.5
"‘ సైరా ’ నిర్మాణానికి",1,0.16666666666666666
"సైరా ’ నిర్మాణానికి భాగస్వాములు",1,0.5
"’ నిర్మాణానికి భాగస్వాములు కావలెను",1,0.5
"నిర్మాణానికి భాగస్వాములు కావలెను !",1,0.5
"భాగస్వాములు కావలెను ! </s>",1,0.5
"కావలెను ! </s> </s>",1,0.5
"! </s> </s> </s>",202,0.9975247524752475
"<s> <s> <s> '",59,0.007389162561576354
"<s> <s> ' '",12,0.19491525423728814
"<s> ' ' ప్రభుత్వం",1,0.041666666666666664
"' ' ప్రభుత్వం ప్రకటిస్తున్న",1,0.5
"' ప్రభుత్వం ప్రకటిస్తున్న మరణాలన్నీ",1,0.5
"ప్రభుత్వం ప్రకటిస్తున్న మరణాలన్నీ అవాస్తవం",1,0.5
"ప్రకటిస్తున్న మరణాలన్నీ అవాస్తవం .",1,0.5
"మరణాలన్నీ అవాస్తవం . ఇప్పటికే",1,0.5
"అవాస్తవం . ఇప్పటికే 50",1,0.5
". ఇప్పటికే 50 మంది",1,0.5
"ఇప్పటికే 50 మంది మరణించారు",1,0.5
"50 మంది మరణించారు .",1,0.5
"మంది మరణించారు . ఈ",1,0.1
"మరణించారు . ఈ ఏడాది",1,0.25
". ఈ ఏడాది ఏప్రిల్",1,0.025
"ఈ ఏడాది ఏప్రిల్ రెండో",1,0.5
"ఏడాది ఏప్రిల్ రెండో వారం",1,0.5
"ఏప్రిల్ రెండో వారం నుంచి",1,0.5
"రెండో వారం నుంచి ఏజెన్సీలో",1,0.5
"వారం నుంచి ఏజెన్సీలో ప్రతి",1,0.5
"నుంచి ఏజెన్సీలో ప్రతి మండలంలోనూ",1,0.5
"ఏజెన్సీలో ప్రతి మండలంలోనూ కోవిడ్",1,0.5
"ప్రతి మండలంలోనూ కోవిడ్ కేసులు",1,0.5
"మండలంలోనూ కోవిడ్ కేసులు నమోదవుతూనే",1,0.5
"కోవిడ్ కేసులు నమోదవుతూనే ఉన్నాయి",1,0.5
"కేసులు నమోదవుతూనే ఉన్నాయి .",1,0.5
"నమోదవుతూనే ఉన్నాయి . '",1,0.5
"ఉన్నాయి . ' '",1,0.5
". ' ' అరుకు",1,0.041666666666666664
"' ' అరుకు లోయ",1,0.5
"' అరుకు లోయ పెదలబుడు",1,0.5
"అరుకు లోయ పెదలబుడు గ్రామ",1,0.5
"లోయ పెదలబుడు గ్రామ సర్పంచ్",1,0.5
"పెదలబుడు గ్రామ సర్పంచ్ దాసు",1,0.5
"గ్రామ సర్పంచ్ దాసు బాబు",1,0.5
"సర్పంచ్ దాసు బాబు అన్నారు",1,0.5
"దాసు బాబు అన్నారు .",1,0.5
"బాబు అన్నారు . </s>",1,0.25
"అన్నారు . </s> </s>",95,0.9947368421052631
"<s> <s> <s> జ",3,0.0003157761778451434
"<s> <s> జ :",1,0.16666666666666666
"<s> జ : 50",1,0.5
"జ : 50 శాతం",1,0.5
": 50 శాతం మంది",1,0.5
